id,place,duration,title,date
UMOSjkqhppM,Historic town of bansk tiavnica and the technical monuments in its vicinity,86,"Banská Štiavnica, Slovakia - World Heritage Journeys",20190909
_BMIEkVopDc,Historic town of bansk tiavnica and the technical monuments in its vicinity,132,"Banská Štiavnica, Slovakia in 4K",20201009
59Fzi5kJJb8,Historic town of bansk tiavnica and the technical monuments in its vicinity,766,"Banská Štiavnica, Slovakia (Tour & History)",20200325
RY39i5wEPnA,Historic town of bansk tiavnica and the technical monuments in its vicinity,297,BANSKÁ ŠTIAVNICA in 4K | SLOVAKIA,20191104
1BV_2uL9eFo,Historic town of bansk tiavnica and the technical monuments in its vicinity,570,Banska Stiavnice (Slovakia) Vacation Travel Video Guide,20170810
FPDq7MUhn0Y,Historic town of bansk tiavnica and the technical monuments in its vicinity,676,Banska Stiavnica - Is this the most beautiful town in Slovakia?,20201121
9gOl2HM8TJk,Historic town of bansk tiavnica and the technical monuments in its vicinity,748,Banská Štiavnica 2019,20190422
adLi1U1bh8k,Historic town of bansk tiavnica and the technical monuments in its vicinity,249,BANSKA STIAVNICA in 5K | LUMIX S1,20200504
KXUdXRsL7qw,Historic town of bansk tiavnica and the technical monuments in its vicinity,339,Banska Stiavnica (Slovakia) drone footage 4k,20201110
nnvVBdUSMC8,Historic town of bansk tiavnica and the technical monuments in its vicinity,44,Banská Štiavnica dron Mavic pro,20180309
2W27jdYikRI,Historic town of bansk tiavnica and the technical monuments in its vicinity,204,Banska Stiavnica,20200823
K7onvPSwhbQ,Historic town of bansk tiavnica and the technical monuments in its vicinity,127,RealityCapture: A City Scale Model With a Gold Mine,20160203
cUCH3BtXMW4,Historic town of bansk tiavnica and the technical monuments in its vicinity,1689,Trať ŽSR 154 Hronská Dúbrava -  Banská Štiavnica,20181212
YKMr5pv0enw,Historic town of bansk tiavnica and the technical monuments in its vicinity,219,"Summer Day in Banská Štiavnica  -Ultra HD, 4K",20140702
x1YiJgA8lpw,Vlkolnec,117,HIGH TATRA Mountains - Slovakia 🇸🇰 Ultra HD 4K DRONE video,20190414
0zthCBtiI0I,Historic town of bansk tiavnica and the technical monuments in its vicinity,220,Banská Štiavnica (1968),20201127
MBNEDVqODVs,Historic town of bansk tiavnica and the technical monuments in its vicinity,264,Juraj Zaujec - Štiavnica |Official Video|,20210502
McXyhAnjlCI,Historic town of bansk tiavnica and the technical monuments in its vicinity,599,Slovakia: The Unknown Beauty (Full Video) - Reuploaded,20100302
lchhYDCyrDQ,Historic town of bansk tiavnica and the technical monuments in its vicinity,179,1.maj Banská Štiavnica 70-te roky,20100202
AK3jW-ApL54,Historic town of bansk tiavnica and the technical monuments in its vicinity,329,Banska Stiavnica,20190620
wu1IqPyQd6s,Historic town of bansk tiavnica and the technical monuments in its vicinity,886,Z gauča do prírody - Okolo Banskej Štiavnice,20191004
dmfjTSdQUG4,Historic town of bansk tiavnica and the technical monuments in its vicinity,48,Banska Stiavnica,20151129
-CcI3sJ4Qzo,Historic town of bansk tiavnica and the technical monuments in its vicinity,188,Banská Štiavnica Full HD 1080p,20181018
4m37lVr9_F4,Historic town of bansk tiavnica and the technical monuments in its vicinity,53,Kalvaria - Banská Štiavnica 4K [ color-grading test ],20200204
Yr-xWBduu_A,Historic town of bansk tiavnica and the technical monuments in its vicinity,214,"Banská Bystrica, THE MOST BEAUTIFUL CITY IN SLOVAKIA, PLACES TO SEE SLOVAKIA, BANSKA BYSTRICA",20140510
vZNbPshQqWI,Historic town of bansk tiavnica and the technical monuments in its vicinity,233,Slovakia by drone | 4K,20200821
n6ZxVujiDkk,Historic town of bansk tiavnica and the technical monuments in its vicinity,329,Banska Stiavnica Stefultov,20190623
4hRyQejSd34,Historic town of grand bassam,990,"Grand Bassam, Quartier France and surroundings. A Must Visit Place! World Heritage.",20191206
-7TwcxtgQJo,Historic town of grand bassam,261,Cote d' Ivoire tourism: Grand Bassam beachfront desolate after fatal shooting,20160326
i03sHWXUeg8,Historic town of grand bassam,599,"|VLOG| GRAND BASSAM🌴🥥 ABIDJAN, COTE D’IVOIRE🇨🇮🌺",20201227
8o2VLtlbhjE,Historic town of grand bassam,130,BASSAM PATRIMOINE MONDIAL DE L'UNESCO,20140812
36MtaJ9cd6A,Historic town of grand bassam,295,"Grand Bassam, Cote d'Ivoire",20121129
YjJdDS1Qs5c,Historic town of grand bassam,138,Internationnal University of Grand-Bassam - OPENING SESSION OF CLUB'S ACTIVITIES,20210122
5KDlnLaMjNQ,Historic town of grand bassam,92,Grand bassam la ville de rêve,20210312
bEfN5tkfES8,Historic town of grand bassam,480,Drone footage of Vermont 2021,20211028
KbvTZMV1hpE,Historic town of grand bassam,554,Road view & Country Info Part-1; From Abidjan to Grand Bassam (Assoyam Beach Resort) & Country Info,20201030
ToeBZEKfr7M,Historic town of grand bassam,404,Inondation à Grand Bassam - Hommage à sa population,20191022
AVl3iJT4jZ8,Historic town of grand bassam,1026,GRAND BASSAM LA PREMIERE CAPITALE DE LA COTE D'IVOIRE,20210624
iks7mIkszxM,Historic town of grand bassam,683,Grand Bassam station balnéaire et patrimoine mondial de l'UNESCO / cote d'ivoire découverte,20180819
FwuIdm94vsM,Historic town of grand bassam,610,Grand Bassam Beach on the Weekend | Very Nice! Ivory Coast | Côte d'Ivoire,20191202
YweRmBO7sTc,Historic town of grand bassam,666,Immobilier en Afrique : la meilleure stratégie pour construire sa maison,20210303
A_cNNvpWgo4,Historic town of grand bassam,969,VENTE DE LOGEMENT ECONOMIQUE A ABIDJAN EN COTE D'IVOIRE,20210408
uizZHnNvtAU,Historic town of grand bassam,412,ABIDJAN DE COCODY RIVIERA 2 À GRAND BASSAM SOUS LA PLUIE,20210429
MA7wGRG9PIk,Historic town of grand bassam,286,"WATCH THIS before visiting Abidjan. (Abidjan, Ivory Coast 🇨🇮 )",20201217
La-auxYMVvs,Historic town of grand bassam,201,【4K】Drone RAW Footage | This is IVORY COAST 2020 | Capital City Abidjan | UltraHD Stock Video,20200228
h41TdC0Y0Qg,Historic town of grand bassam,686,Accra Ghana vs Abidjan Cote D'ivoire; Which City is Most Beautiful? Quelle Ville est la Plus Belle,20210306
CYhZSx9TKvQ,Historic town of grand bassam,233,Travel Guide to Kenya,20140404
j8kRw26OEIk,Historic town of grand bassam,652,"Grand-Bassam Beach, Cote d'Ivoire. A splendid day!",20210327
OqUmsLsHAF4,Historic town of grand bassam,165,Rag du Quartier france,20170715
XvXf9cNdI-4,Historic town of grand bassam,714,You Won't Believe What Goes On At The Côte d'Ivoire /Ivory Coast Beach,20210801
JcdkhRcsrvg,Historic town of grand bassam,120,A day in Grand-Bassam,20170903
lSuTCFISBjI,Historic town of grand bassam,110,"ÉTOILE DU SUD,UN HOTEL 4 ÉTOILES A GRAND-BASSAM",20160210
TZwUnXHiJ1c,Historic town of grand bassam,222,JEUX DE LA FRANCOPHONIE 2017 ! Akwaba ! Bienvenue en Côte d'Ivoire,20170623
PhvkMfM3MaA,Royal hill of ambohimanga,214,Vieille Ville Moudon au drone,20140202
684GgpuE5wo,Historic town of grand bassam,437,KITA VILLAGE / GRAND BASSAM,20210129
MmNFzT1KsmQ,Historic town of guanajuato and adjacent mines,175,Historic Town of Guanajuato and Adjacent Mines (UNESCO/NHK),20131105
dTw3CAholX8,Historic town of guanajuato and adjacent mines,1838,Historic Town of Guanajuato and its Mines 🇲🇽 Mexico,20200210
5WCiQEBDXxw,Historic town of guanajuato and adjacent mines,420,【4K】Guanajuato - Part 1: Tour by Car - Exploring Streets & Tunnels,20200113
Z-rCchw55NE,Historic town of guanajuato and adjacent mines,22,UN-1198 GUANAJUATO AND ADJACENT MINES,20110913
SzfjTVKCanc,Historic town of guanajuato and adjacent mines,513,Guanajuato's Silver Mining History [Mine Tours and Mexico's Independence],20180803
6c6ckOy7ntE,Historic town of guanajuato and adjacent mines,968,Searching For ABANDONED MINES In Guanajuato | MEXICO,20200719
TMjyq4DCgcw,Historic town of guanajuato and adjacent mines,221,Central Colonial Mexico - Summer/Verano 2021 - DJI Mini 2 - 4K,20211019
